klub;id;imnz;rokur;wzrost;waga
Legia Warszawa;6722;Danijel Ljuboja;1978;188;80
Legia Warszawa;15020;Michał Żyro;1992;189;78
Łódzki KS;20339;Adrian Olszewski;1993;190;83
Łódzki KS;20143;Pavle Velimirović;1990;186;80
Łódzki KS;2459;Bogusław Wyparło;1974;183;80
Łódzki KS;15;Marcin Adamski;1975;187;80
Łódzki KS;8968;Artur Gieraga;1988;183;80
Łódzki KS;2748;Paweł Golański;1982;183;77
Łódzki KS;2873;Piotr Klepczarek II;1984;180;74
Łódzki KS;1167;Michał Łabędzki;1980;184;76
Łódzki KS;3883;Antoni Łukasiewicz;1983;188;80
Łódzki KS;13188;Szymon Salski;1990;187;70
Łódzki KS;3914;Cezary Stefańczyk;1984;184;78
Łódzki KS;20308;Jakub Wróblewski;1992;187;80
Łódzki KS;4202;Marcin Kaczmarek;1979;170;65
Łódzki KS;8510;Mladen Kašćelan;1983;178;70
Łódzki KS;862;Dariusz Kłus;1981;187;80
Łódzki KS;8040;Tomasz Nowak;1985;171;72
Łódzki KS;17610;Oskar Osowski;1991;182;75
Łódzki KS;20303;Kamil Paluch;1991;171;66
Łódzki KS;20247;Agwan Papikjan;1994;173;69
Łódzki KS;20248;Wolodja Papikjan;1993;172;69
Łódzki KS;12188;Marcin Pękała;1991;169;65
Łódzki KS;8939;Radosław Pruchnik;1986;185;80
Łódzki KS;4662;Bartosz Romańczuk;1983;175;71
Łódzki KS;5580;Marcin Smoliński;1985;174;68
Łódzki KS;3312;Sebastian Szałachowski;1984;174;71
Łódzki KS;3892;Robert Szczot;1982;176;74
Łódzki KS;214;Maciej Bykowski;1977;177;77
Łódzki KS;16460;Artur Golański;1992;186;74
Łódzki KS;20241;Przemysław Kita;1993;180;71
Łódzki KS;17611;Patryk Kubicki;1993;177;63
Łódzki KS;8969;Rafał Kujawa;1988;185;78
Łódzki KS;1345;Marcin Mięciel;1975;186;76
Łódzki KS;1857;Marek Saganowski;1978;178;78
Podbeskidzie Bielsko-Biała;6273;Mateusz Bąk;1983;186;85
Podbeskidzie Bielsko-Biała;15046;Bartłomiej Danowski;1992;187;81
Podbeskidzie Bielsko-Biała;20352;Bartosz Kostyra;1994;189;73
Podbeskidzie Bielsko-Biała;13353;Maciej Wierzbicki;1991;190;85
Podbeskidzie Bielsko-Biała;6747;Richard Zajac;1976;186;81
Podbeskidzie Bielsko-Biała;6513;Jacek Broniewicz;1981;185;84
Podbeskidzie Bielsko-Biała;16402;Damian Byrtek;1991;193;84
Podbeskidzie Bielsko-Biała;5330;Sławomir Cienciała;1983;183;79
Podbeskidzie Bielsko-Biała;8356;Juraj Dančík;1982;189;84
Podbeskidzie Bielsko-Biała;5108;Tomasz Górkiewicz;1985;185;76
Podbeskidzie Bielsko-Biała;901;Bartłomiej Konieczny;1981;193;92
Podbeskidzie Bielsko-Biała;6187;Krzysztof Król;1987;184;73
Podbeskidzie Bielsko-Biała;1535;Michał Osiński;1978;180;74
Podbeskidzie Bielsko-Biała;18873;Ondřej Šourek;1983;188;88
Podbeskidzie Bielsko-Biała;10465;Damian Chmiel;1987;174;73
Podbeskidzie Bielsko-Biała;20878;Liran Cohen;1983;174;70
Podbeskidzie Bielsko-Biała;3611;Dariusz Kołodziej;1982;177;73
Podbeskidzie Bielsko-Biała;5106;Piotr Koman;1985;183;74
Podbeskidzie Bielsko-Biała;1174;Dariusz Łatka;1978;172;65
Podbeskidzie Bielsko-Biała;4967;Piotr Malinowski;1984;170;66
Podbeskidzie Bielsko-Biała;19431;František Metelka;1980;187;77
Podbeskidzie Bielsko-Biała;19422;Matej Náther;1985;173;70
Podbeskidzie Bielsko-Biała;3197;Maciej Rogalski;1980;180;73
Podbeskidzie Bielsko-Biała;5669;Mariusz Sacha;1987;176;70
Podbeskidzie Bielsko-Biała;3759;Marek Sokołowski;1978;181;75
Podbeskidzie Bielsko-Biała;7536;Sebastian Ziajka;1982;182;75
Podbeskidzie Bielsko-Biała;3916;Adam Cieśliński;1982;179;76
Podbeskidzie Bielsko-Biała;17459;Róbert Demjan;1982;181;76
Podbeskidzie Bielsko-Biała;20350;Daniel Gołuch;1993;182;72
Podbeskidzie Bielsko-Biała;20612;Mateusz Janeczko;1994;174;64
Podbeskidzie Bielsko-Biała;13394;Sylwester Patejuk;1982;188;80
Podbeskidzie Bielsko-Biała;4343;Adrian Sikora;1980;170;67
Polonia Warszawa;8382;Michał Gliwa;1988;188;76
Polonia Warszawa;14114;Adrian Lis;1992;192;78
Polonia Warszawa;3898;Sebastian Przyrowski;1981;192;79
Polonia Warszawa;85;Marcin Baszczyński;1977;182;75
Polonia Warszawa;2634;Tomasz Brzyski;1982;170;68
Polonia Warszawa;19389;Đorđe Čotra;1984;184;81
Polonia Warszawa;5647;Tomasz Jodłowiec;1985;190;86
Polonia Warszawa;5949;Adam Kokoszka;1986;187;82
Polonia Warszawa;4844;Radek Mynář;1974;177;69
Polonia Warszawa;8188;Maciej Sadlok;1989;186;80
Polonia Warszawa;19489;Aleksandar Todorovski;1984;181;73
Polonia Warszawa;6037;Jakub Tosik;1987;182;74
Polonia Warszawa;5549;Grzegorz Bonin;1983;188;78
Polonia Warszawa;9809;Bruno;1986;184;83
Polonia Warszawa;18512;Róbert Jež;1981;178;72
Polonia Warszawa;6615;Łukasz Piątek;1985;180;71
Polonia Warszawa;16857;Miłosz Przybecki;1991;176;66
Polonia Warszawa;4459;Łukasz Trałka;1984;186;77
Polonia Warszawa;14936;Paweł Wszołek;1992;186;77
Polonia Warszawa;20112;Edgar Çani;1989;192;87
Polonia Warszawa;19019;Michał Grunt;1993;190;77
Polonia Warszawa;17417;Daniel Sikorski;1987;184;74
Polonia Warszawa;19992;Pavel Šultes;1985;180;77
Polonia Warszawa;16488;Łukasz Teodorczyk;1991;185;76
Ruch Chorzów;13337;Damian Matras;1990;196;94
Ruch Chorzów;8171;Matko Perdijić;1982;195;94
Ruch Chorzów;9811;Michal Peškovič;1982;188;86
Ruch Chorzów;9377;Łukasz Burliga;1988;184;78
Ruch Chorzów;19284;Željko Đokić;1982;188;84
Ruch Chorzów;6183;Rafał Grodzicki;1983;192;91
Ruch Chorzów;20881;Tomáš Josl;1984;178;75
Ruch Chorzów;16212;Michał Kołodziejski;1993;184;74
Ruch Chorzów;7829;Igor Lewczuk;1985;187;83
Ruch Chorzów;16969;Michał Staszowski;1992;185;83
Ruch Chorzów;6897;Piotr Stawarczyk;1983;193;88
Ruch Chorzów;2165;Marek Szyndrowski;1980;184;75
Ruch Chorzów;595;Rafał Grzelak;1982;176;78
Ruch Chorzów;600;Wojciech Grzyb;1974;175;70
Ruch Chorzów;16709;Przemysław Kanarek;1992;186;76
Ruch Chorzów;4401;Andrej Komac;1979;176;72
Ruch Chorzów;12291;Paweł Lisowski;1991;178;76
Ruch Chorzów;1240;Marcin Malinowski;1975;179;74
Ruch Chorzów;10671;Jakub Smektała;1987;184;75
Ruch Chorzów;14896;Filip Starzyński;1991;184;70
Ruch Chorzów;9812;Gábor Straka;1981;180;77
Ruch Chorzów;17898;Kamil Włodyka;1994;180;70
Ruch Chorzów;2510;Marek Zieńczuk;1978;183;75
Ruch Chorzów;1;Paweł Abbott;1982;181;77
Ruch Chorzów;14001;Maciej Jankowski;1990;181;68
Ruch Chorzów;6179;Łukasz Janoszka;1987;181;76
Ruch Chorzów;17739;Mateusz Kwiatkowski;1992;167;60
Ruch Chorzów;3095;Sebastian Olszar;1981;182;74
Ruch Chorzów;8429;Arkadiusz Piech;1985;171;72
Śląsk Wrocław;7869;Rafał Gikiewicz;1987;190;78
Śląsk Wrocław;16333;Marián Kelemen;1979;188;83
Śląsk Wrocław;7063;Krzysztof Żukowski;1985;192;88
Śląsk Wrocław;4649;Piotr Celeban;1985;181;76
Śląsk Wrocław;6708;Jarosław Fojut;1987;188;83
Śląsk Wrocław;5068;Mariusz Pawelec;1986;180;72
Śląsk Wrocław;3142;Dariusz Pietrasiak;1980;186;81
Śląsk Wrocław;8460;Tadeusz Socha;1988;183;70
Śląsk Wrocław;14110;Amir Spahić;1983;188;84
Śląsk Wrocław;13726;Przemysław Szuszkiewicz;1990;184;78
Śląsk Wrocław;6416;Marek Wasiluk;1987;196;83
Śląsk Wrocław;2408;Krzysztof Wołczek;1979;180;72
Śląsk Wrocław;8306;Mateusz Cetnarski;1988;175;71
Śląsk Wrocław;5382;Piotr Ćwielong;1986;171;65
Śląsk Wrocław;4952;Sebastian Dudek;1980;182;76
Śląsk Wrocław;19367;Rok Elsner;1986;186;75
Śląsk Wrocław;5679;Marek Gancarczyk;1983;178;72
Śląsk Wrocław;819;Przemysław Kaźmierczak;1982;191;80
Śląsk Wrocław;1206;Łukasz Madej;1982;176;70
Śląsk Wrocław;3055;Sebastian Mila;1982;178;67
Śląsk Wrocław;9010;Waldemar Sobota;1987;175;60
Śląsk Wrocław;2137;Dariusz Sztylka;1978;188;75
Śląsk Wrocław;19503;Alexandre;1992;182;71
Śląsk Wrocław;17454;Cristián Díaz;1986;183;79
Śląsk Wrocław;7872;Łukasz Gikiewicz;1987;188;75
Śląsk Wrocław;16538;Marcin Staszewski;1993;188;76
Śląsk Wrocław;2114;Tomasz Szewczuk;1978;185;81
Śląsk Wrocław;20102;Johan Voskamp;1984;193;88
Widzew Łódź;9701;Bartosz Kaniecki;1988;196;91
Widzew Łódź;1339;Maciej Mielcarz;1980;194;93
Widzew Łódź;20144;Patryk Wolański;1991;188;81
Widzew Łódź;20884;Hachem Abbes;1986;187;81
Widzew Łódź;17743;Jakub Bartkowski;1991;182;74
Widzew Łódź;16461;Souheil Ben Radhia;1985;176;72
Widzew Łódź;124;Jarosław Bieniuk;1979;192;83
Widzew Łódź;7450;Łukasz Broź;1985;180;74
Widzew Łódź;17474;Bruno Pinheiro;1987;185;75
Widzew Łódź;15977;Sebastian Duda;1993;183;80
Widzew Łódź;14181;Dudu Paraíba;1985;181;71
Widzew Łódź;13839;Daniel Dybiec;1991;188;77
Widzew Łódź;5701;Sebastian Madera;1985;190;80
Widzew Łódź;8439;Ugochukwu Ukah;1984;185;85
Widzew Łódź;197;Adrian Budka;1980;174;74
Widzew Łódź;19423;Nika Dzalamidze;1992;173;70
Widzew Łódź;20885;Igor Alves;1988;177;67
Widzew Łódź;12027;Piotr Mroziński;1992;181;74
Widzew Łódź;4368;Krzysztof Ostrowski;1982;178;73
Widzew Łódź;8345;Mindaugas Panka;1984;185;78
Widzew Łódź;14436;Damian Radowicz;1989;178;68
Widzew Łódź;11061;Sebastian Radzio;1991;185;77
Widzew Łódź;19375;Riku Riski;1989;168;66
Widzew Łódź;16497;Rafał Serwaciński;1990;175;74
Widzew Łódź;15517;Jurijs Žigajevs;1985;168;63
Widzew Łódź;10955;Sebastian Ceglarz;1990;182;76
Widzew Łódź;7470;Piotr Grzelczak;1988;186;82
Widzew Łódź;20291;Princewill Okachi;1991;168;68
Widzew Łódź;8191;Przemysław Oziębała;1986;180;77
Widzew Łódź;20313;Mariusz Stępiński;1995;183;72
Widzew Łódź;14010;Emil Wrażeń;1992;187;75
Wisła Kraków;17373;Milan Jovanić;1985;187;85
Wisła Kraków;11687;Filip Kurto;1991;191;82
Wisła Kraków;19410;Sergei Pareiko;1977;193;83
Wisła Kraków;17456;Gordan Bunoza;1988;195;85
Wisła Kraków;17107;Osman Chávez;1984;187;86
Wisła Kraków;14113;Michał Czekaj;1992;195;83
Wisła Kraków;9810;Júnior Díaz;1983;185;76
Wisła Kraków;15179;Kew Jaliens;1978;183;68
Wisła Kraków;16248;Marko Jovanović;1988;189;76
Wisła Kraków;8319;Mateusz Kowalski;1986;186;79
Wisła Kraków;20028;Michael Lamey;1979;186;79
Wisła Kraków;17508;Dragan Paljić;1983;175;69
Wisła Kraków;10883;Daniel Brud;1989;182;79
Wisła Kraków;2737;Łukasz Garguła;1981;177;71
Wisła Kraków;5314;Ivica Iliev;1979;182;78
Wisła Kraków;8350;Tomáš Jirsák;1984;172;65
Wisła Kraków;12171;Andraž Kirm;1984;183;70
Wisła Kraków;7436;Patryk Małecki;1988;170;70
Wisła Kraków;19386;Maor Melikson;1984;175;70
Wisła Kraków;20095;Gervasio Núnez;1988;187;84
Wisła Kraków;1955;Radosław Sobolewski;1976;182;79
Wisła Kraków;16482;Adrian Stanek;1991;174;73
Wisła Kraków;6913;Cezary Wilk;1986;180;74
Wisła Kraków;20100;Dudu Biton;1988;187;81
Wisła Kraków;6804;Rafał Boguski;1984;173;70
Wisła Kraków;19390;Cwetan Genkow;1984;184;83
Wisła Kraków;18414;Michał Szewczyk;1992;176;74
Zagłębie Lubin;13780;Konrad Forenc;1992;191;91
Zagłębie Lubin;13229;Bojan Isailović;1980;192;88
Zagłębie Lubin;1735;Aleksander Ptak;1977;187;85
Zagłębie Lubin;17601;Michal Hanek;1980;183;78
Zagłębie Lubin;17455;Csaba Horváth;1982;192;83
Zagłębie Lubin;8504;Szymon Kapias;1984;182;75
Zagłębie Lubin;4669;Marcin Kowalczyk;1985;182;82
Zagłębie Lubin;10704;Costa Nhamoinesu;1986;187;74
Zagłębie Lubin;16383;Sergio Reina;1985;187;83
Zagłębie Lubin;8858;Bartosz Rymaniak;1989;189;80
Zagłębie Lubin;3925;Błażej Telichowski;1984;187;81
Zagłębie Lubin;19323;David Abwo;1986;170;70
Zagłębie Lubin;13113;Damian Dąbrowski;1992;178;73
Zagłębie Lubin;9981;Ariel Famulski;1991;178;66
Zagłębie Lubin;19397;Dominykas Galkevičius;1986;178;68
Zagłębie Lubin;7510;Janusz Gancarczyk;1984;179;72
Zagłębie Lubin;8354;Łukasz Hanzel;1986;181;71
Zagłębie Lubin;8473;Maciej Małkowski;1985;170;65
Zagłębie Lubin;7782;Szymon Pawłowski;1986;175;69
Zagłębie Lubin;1754;Patryk Rachwał;1981;176;70
Zagłębie Lubin;11406;Adrian Rakowski;1990;180;70
Zagłębie Lubin;8660;Kamil Wilczek;1988;186;78
Zagłębie Lubin;19393;Deniss Rakels;1992;179;73
Zagłębie Lubin;13285;Darvydas Šernas;1984;180;75
Zagłębie Lubin;9405;Mateusz Szczepaniak;1991;184;73
Zagłębie Lubin;11210;Mouhamadou Traoré;1982;183;75
Zagłębie Lubin;11408;Arkadiusz Woźniak;1990;184;73
